City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
25,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
36,Bambous Virieux,MU,79.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
37,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Mackay,AU,79.68,broken clouds,-21.15,149.2,International Lodge Motel
50,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
52,Nong Chik,TH,76.91,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
60,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
66,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
73,Mayumba,GA,76.86,overcast clouds,-3.432,10.6554,LIKWALE LODGE
75,Kapaa,US,79.2,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Lazaro Cardenas,MX,75.85,clear sky,17.9583,-102.2,quinta antigua
97,Arraial Do Cabo,BR,76.69,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
100,Morondava,MG,78.62,light rain,-20.2833,44.2833,La Case Bambou
101,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
103,Itarema,BR,78.75,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
117,Port Lincoln,AU,78.75,few clouds,-34.7333,135.8667,Port Lincoln Hotel
136,Palembang,ID,77.09,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
143,Atuona,PF,78.69,light rain,-9.8,-139.0333,Villa Enata
147,Coxim,BR,77.04,overcast clouds,-18.5067,-54.76,Hotel Avenida
148,Sibolga,ID,76.23,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
152,Idah,NG,75.43,clear sky,7.1065,6.7342,Ubiga Hotel Idah
155,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
162,Manakara,MG,78.84,moderate rain,-22.1333,48.0167,La Residence Manakara
163,Ilhabela,BR,78.12,light rain,-23.7781,-45.3581,Ilha Flat Hotel
172,Coruripe,BR,78.06,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
174,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
176,Presidente Epitacio,BR,75.13,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
187,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
191,Kapit,MY,75.81,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
192,Kilindoni,TZ,79.61,overcast clouds,-7.9139,39.6668,Bustani B&B
213,Mersing,MY,77.79,overcast clouds,2.4312,103.8405,Timotel Hotel
216,Chateaubelair,VC,75.81,clear sky,13.2833,-61.25,Richmond Vale Diving & Hiking Center
231,Salinopolis,BR,78.1,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
232,Semporna,MY,79.36,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
241,Sao Joao Da Barra,BR,77.25,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
242,Takoradi,GH,79.43,light rain,4.8845,-1.7554,Raybow International Hotel
243,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
266,Bathsheba,BB,77.13,broken clouds,13.2167,-59.5167,Atlantis Hotel
275,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
295,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
296,Kavaratti,IN,77.97,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
321,Kaeo,NZ,79.32,overcast clouds,-35.1,173.7833,Bushido Lodge
323,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
326,Caravelas,BR,76.68,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
330,Sinnamary,GF,76.59,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
337,Codrington,AU,77.0,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
344,Sao Jose Da Coroa Grande,BR,78.24,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
346,Mogadishu,SO,76.53,overcast clouds,2.0371,45.3438,Hotel Juba
375,Villeta,CO,75.81,scattered clouds,5.0089,-74.4723,Hotel Villeta Suite
376,Port-Gentil,GA,79.02,clear sky,-0.7193,8.7815,Fengshui Residence
398,Trairi,BR,77.7,clear sky,-3.2778,-39.2689,janelas do mar
420,Neiafu,TO,79.23,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
432,Tabou,CI,79.34,light rain,4.423,-7.3528,hotêl doufoulougou
448,Bubaque,GW,77.92,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
450,Ahipara,NZ,77.43,light rain,-35.1667,173.1667,Ahipara Holiday Park
454,Mtwara,TZ,75.04,light rain,-10.2667,40.1833,TIL Hotels Mtwara
458,Lethem,GY,78.42,overcast clouds,3.3803,-59.7968,Savannah Inn
467,Culebra,PR,75.24,overcast clouds,18.303,-65.301,Palmetto Guesthouse
469,Tsabong,BW,76.15,light rain,-26.0217,22.401,Springbok Motel
481,Davila,PH,76.19,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
494,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
502,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
503,Carutapera,BR,75.47,overcast clouds,-1.195,-46.02,Lidera
507,Pedernales,DO,75.72,clear sky,18.0384,-71.744,Hotel Costa Marina
532,Sao Sebastiao,BR,77.47,light rain,-23.76,-45.4097,Hotel Recanto dos Pássaros
543,Moree,AU,78.82,scattered clouds,-29.4667,149.85,Molika Springs Motel
548,Phan Thiet,VN,78.57,scattered clouds,10.9333,108.1,Hotel Saigon-PT
549,Beira,MZ,77.67,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
566,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Hotel Central
572,Cozumel,MX,76.95,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
586,Trinidad,BO,75.38,overcast clouds,-14.8333,-64.9,Hotel Piesta
587,Sri Aman,MY,76.95,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
596,Singapore,SG,78.75,moderate rain,1.2897,103.8501,The Fullerton Hotel Singapore
604,Belize,BZ,77.25,clear sky,17.25,-88.75,Villa San Juan
613,Dalby,AU,76.51,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
629,Bireun,ID,77.59,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
631,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
639,Sibu,MY,78.08,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
640,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
641,Cape Coast,GH,79.81,light rain,5.1053,-1.2466,Samrit Hotel
653,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
